player,team,game_date,passing_yards,rushing_yards,receiving_yards
Josh Allen,Unknown,2024-11-10,280.0,50.0,0
Justin Herbert,Unknown,2024-11-10,164.0,32.0,0
C.J. Stroud,Unknown,2024-11-10,232.0,5.0,0
Jalen Hurts,Unknown,2024-11-10,202.0,56.0,0
Kirk Cousins,Unknown,2024-11-10,306.0,0.0,0
Dak Prescott,Unknown,2024-11-10,0.0,0.0,0
Patrick Mahomes,Unknown,2024-11-10,266.0,19.0,0
Lamar Jackson,Unknown,2024-11-07,290.0,33.0,0
Patrick Mahomes,Unknown,2024-11-04,291.0,9.0,0
Jared Goff,Unknown,2024-11-03,145.0,-2.0,0
Tua Tagovailoa,Unknown,2024-11-03,231.0,3.0,0
Dak Prescott,Unknown,2024-11-03,133.0,30.0,0
Josh Allen,Unknown,2024-11-03,235.0,7.0,0
Lamar Jackson,Unknown,2024-11-03,280.0,4.0,0
Justin Herbert,Unknown,2024-11-03,282.0,2.0,0
Jalen Hurts,Unknown,2024-11-03,230.0,67.0,0
Kirk Cousins,Unknown,2024-11-03,222.0,-11.0,0
C.J. Stroud,Unknown,2024-10-31,191.0,59.0,0
Jared Goff,Unknown,2024-10-27,85.0,1.0,0
C.J. Stroud,Unknown,2024-10-27,285.0,-10.0,0
Brock Purdy,Unknown,2024-10-27,260.0,56.0,0
Kirk Cousins,Unknown,2024-10-27,276.0,16.0,0
Dak Prescott,Unknown,2024-10-27,243.0,-1.0,0
Tua Tagovailoa,Unknown,2024-10-27,234.0,13.0,0
Lamar Jackson,Unknown,2024-10-27,289.0,46.0,0
Justin Herbert,Unknown,2024-10-27,279.0,49.0,0
Patrick Mahomes,Unknown,2024-10-27,262.0,17.0,0
Josh Allen,Unknown,2024-10-27,283.0,25.0,0
Jalen Hurts,Unknown,2024-10-27,236.0,37.0,0
Justin Herbert,Unknown,2024-10-21,349.0,8.0,0
Lamar Jackson,Unknown,2024-10-21,281.0,52.0,0
Kirk Cousins,Unknown,2024-10-20,232.0,-1.0,0
Josh Allen,Unknown,2024-10-20,323.0,1.0,0
Jalen Hurts,Unknown,2024-10-20,114.0,22.0,0
Brock Purdy,Unknown,2024-10-20,212.0,27.0,0
C.J. Stroud,Unknown,2024-10-20,86.0,19.0,0
Tua Tagovailoa,Unknown,2024-10-20,0.0,0.0,0
Patrick Mahomes,Unknown,2024-10-20,154.0,39.0,0
Jared Goff,Unknown,2024-10-20,280.0,-4.0,0
Josh Allen,Unknown,2024-10-14,215.0,18.0,0
Lamar Jackson,Unknown,2024-10-13,323.0,40.0,0
Justin Herbert,Unknown,2024-10-13,237.0,2.0,0
Jared Goff,Unknown,2024-10-13,315.0,5.0,0
Dak Prescott,Unknown,2024-10-13,178.0,1.0,0
C.J. Stroud,Unknown,2024-10-13,192.0,7.0,0
Jalen Hurts,Unknown,2024-10-13,264.0,33.0,0
Kirk Cousins,Unknown,2024-10-13,225.0,-5.0,0
Brock Purdy,Unknown,2024-10-10,255.0,19.0,0
Patrick Mahomes,Unknown,2024-10-07,331.0,22.0,0
Dak Prescott,Unknown,2024-10-06,352.0,3.0,0
C.J. Stroud,Unknown,2024-10-06,331.0,27.0,0
Brock Purdy,Unknown,2024-10-06,244.0,33.0,0
Tua Tagovailoa,Unknown,2024-10-06,0.0,0.0,0
Josh Allen,Unknown,2024-10-06,131.0,54.0,0
Lamar Jackson,Unknown,2024-10-06,348.0,55.0,0
Kirk Cousins,Unknown,2024-10-03,509.0,0.0,0
Jared Goff,Unknown,2024-09-30,292.0,-2.0,0
Tua Tagovailoa,Unknown,2024-09-30,0.0,0.0,0
C.J. Stroud,Unknown,2024-09-29,345.0,17.0,0
Jalen Hurts,Unknown,2024-09-29,158.0,20.0,0
Justin Herbert,Unknown,2024-09-29,179.0,0.0,0
Josh Allen,Unknown,2024-09-29,180.0,21.0,0
Kirk Cousins,Unknown,2024-09-29,238.0,0.0,0
Brock Purdy,Unknown,2024-09-29,288.0,11.0,0
Lamar Jackson,Unknown,2024-09-29,156.0,54.0,0
Patrick Mahomes,Unknown,2024-09-29,245.0,12.0,0
Dak Prescott,Unknown,2024-09-26,221.0,-1.0,0
Josh Allen,Unknown,2024-09-23,263.0,44.0,0
Kirk Cousins,Unknown,2024-09-22,230.0,-1.0,0
Tua Tagovailoa,Unknown,2024-09-22,0.0,0.0,0
Patrick Mahomes,Unknown,2024-09-22,217.0,17.0,0
C.J. Stroud,Unknown,2024-09-22,215.0,12.0,0
Jalen Hurts,Unknown,2024-09-22,311.0,25.0,0
Jared Goff,Unknown,2024-09-22,199.0,6.0,0
